Player;Tm;Opp;Res;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;Data
Jalen Williams;OKC;CHI;W;31.8;5;11;0.455;2;6;0.333;4;4;1.0;0;3;3;5;1;0;2;3;16;12.5;25/10/2023
Trae Young;ATL;CHO;L;36.02;4;19;0.211;1;9;0.111;14;15;0.933;0;1;1;9;1;0;5;3;23;12.3;25/10/2023
Josh Giddey;OKC;CHI;W;31.78;7;14;0.5;2;3;0.667;0;0;0.0;1;5;6;6;0;0;3;1;16;12.0;25/10/2023
Kyrie Irving;DAL;SAS;W;36.25;10;24;0.417;1;8;0.125;1;1;1.0;0;2;2;6;1;0;2;3;22;11.8;25/10/2023
Marvin Bagley;DET;MIA;L;16.18;3;3;1.0;0;0;0.0;2;2;1.0;2;6;8;3;0;1;1;1;8;11.7;25/10/2023
LaMelo Ball;CHO;ATL;W;30.78;4;15;0.267;4;11;0.364;3;4;0.75;1;5;6;10;1;0;3;3;15;11.7;25/10/2023
Duncan Robinson;MIA;DET;W;22.1;6;10;0.6;3;5;0.6;0;0;0.0;1;1;2;1;0;0;0;1;15;11.7;25/10/2023
Markelle Fultz;ORL;HOU;W;24.52;5;9;0.556;0;0;0.0;0;0;0.0;3;1;4;2;3;0;1;0;10;11.5;25/10/2023
Shaedon Sharpe;POR;LAC;L;28.48;6;14;0.429;1;6;0.167;1;1;1.0;4;2;6;3;1;0;0;4;14;11.5;25/10/2023
Herbert Jones;NOP;MEM;W;38.1;4;8;0.5;2;3;0.667;3;5;0.6;3;5;8;3;1;1;3;3;13;11.4;25/10/2023
Jakob Poeltl;TOR;MIN;W;23.72;3;3;1.0;0;0;0.0;1;4;0.25;3;8;11;1;1;1;0;1;7;11.4;25/10/2023
Cason Wallace;OKC;CHI;W;19.03;5;5;1.0;3;3;1.0;0;0;0.0;0;2;2;1;0;1;1;3;13;11.3;25/10/2023
Zach Collins;SAS;DAL;L;31.92;6;10;0.6;0;4;0.0;2;2;1.0;1;4;5;3;1;2;3;4;14;11.2;25/10/2023
Dillon Brooks;HOU;ORL;L;26.13;5;7;0.714;4;6;0.667;0;0;0.0;0;4;4;2;1;0;2;4;14;11.1;25/10/2023
Isaiah Joe;OKC;CHI;W;21.6;4;8;0.5;3;6;0.5;3;4;0.75;1;4;5;2;1;0;2;2;14;11.1;25/10/2023
Torrey Craig;CHI;OKC;L;21.68;4;6;0.667;3;4;0.75;0;0;0.0;4;3;7;1;0;0;1;2;11;11.0;25/10/2023
De'Aaron Fox;SAC;UTA;W;32.95;6;18;0.333;1;7;0.143;5;6;0.833;2;3;5;6;1;1;3;4;18;11.0;25/10/2023
Brandon Ingram;NOP;MEM;W;35.93;7;18;0.389;0;3;0.0;5;6;0.833;0;7;7;6;2;0;5;3;19;10.9;25/10/2023
Gary Harris;ORL;HOU;W;16.95;5;8;0.625;1;4;0.25;0;0;0.0;3;2;5;0;0;1;0;0;11;10.8;25/10/2023
Cameron Johnson;BRK;CLE;L;26.12;5;10;0.5;1;4;0.25;1;2;0.5;2;3;5;3;2;0;2;1;12;10.6;25/10/2023
Kevin Love;MIA;DET;W;27.72;4;9;0.444;3;6;0.5;2;2;1.0;2;8;10;2;0;0;1;5;13;10.5;25/10/2023
Mike Conley;MIN;TOR;L;30.5;4;9;0.444;1;4;0.25;2;2;1.0;1;3;4;3;1;1;1;1;11;10.3;25/10/2023
Jonas Valanciunas;NOP;MEM;W;29.2;4;7;0.571;2;4;0.5;2;2;1.0;0;12;12;1;0;1;3;1;12;10.3;25/10/2023
Bones Hyland;LAC;POR;W;21.75;6;11;0.545;3;8;0.375;2;2;1.0;0;0;0;3;0;0;2;4;17;10.2;25/10/2023
Deni Avdija;WAS;IND;L;20.67;4;8;0.5;0;0;0.0;1;2;0.5;2;5;7;5;1;0;2;0;9;10.0;25/10/2023
Grant Williams;DAL;SAS;W;35.17;6;11;0.545;4;8;0.5;1;1;1.0;1;5;6;0;0;1;3;4;17;10.0;25/10/2023
Josh Green;DAL;SAS;W;29.87;3;5;0.6;2;2;1.0;3;4;0.75;2;0;2;1;1;0;0;4;11;9.8;25/10/2023
Robert Williams;POR;LAC;L;23.22;5;7;0.714;0;0;0.0;0;1;0.0;2;5;7;0;3;1;2;4;10;9.7;25/10/2023
Thomas Bryant;MIA;DET;W;15.83;2;5;0.4;0;0;0.0;4;5;0.8;2;4;6;3;1;0;1;0;8;9.6;25/10/2023
Julius Randle;NYK;BOS;L;34.02;5;22;0.227;3;8;0.375;1;5;0.2;4;7;11;7;2;0;0;3;14;9.6;25/10/2023
Pascal Siakam;TOR;MIN;W;34.1;5;17;0.294;3;5;0.6;2;2;1.0;0;7;7;6;1;0;2;2;15;9.6;25/10/2023
Obi Toppin;IND;WAS;W;19.23;4;9;0.444;2;5;0.4;1;1;1.0;1;3;4;1;1;0;0;0;11;9.6;25/10/2023
Coby White;CHI;OKC;L;30.58;4;14;0.286;2;7;0.286;5;6;0.833;1;3;4;4;0;0;0;3;15;9.6;25/10/2023
Kyle Anderson;MIN;TOR;L;30.32;3;9;0.333;0;1;0.0;1;2;0.5;2;7;9;5;2;0;1;0;7;9.5;25/10/2023
Nic Claxton;BRK;CLE;L;28.27;3;10;0.3;0;0;0.0;1;1;1.0;4;3;7;4;0;3;0;1;7;9.4;25/10/2023
